record_id,latitude,longitude,fish,source,source_url,source_id,original_source_url,date,sector,confidence_class,reports_count,analysis_weight,duplicate_of,comment,depth,method,catch,nearest_landmark,landmark_distance_km,distance_from_novaya_ladoga_km,waterbody,context_reports_count
fishermap-6168,60.110724,31.528745,Щука; Окунь,FisherMap,https://ru.fishermap.org/location/6168/,6168,https://vk.com/wall-1707795_14194,2019-02-26,Шлиссельбург / бухта Петрокрепость,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Шлиссельбург / бухта Петрокрепость,4.618,42.414,Ладожское озеро,
fishermap-6170,59.981948,31.513851,Окунь,FisherMap,https://ru.fishermap.org/location/6170/,6170,https://vk.com/wall-1707795_13087,2018-12-24,Кобона / южный берег,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Кобона / южный берег,5.709,45.383,Ладожское озеро; бухта Петрокрепость,
fishermap-6171,59.974345,31.524014,Окунь,FisherMap,https://ru.fishermap.org/location/6171/,6171,https://vk.com/wall-1707795_13013,2018-12-20,Кобона / южный берег,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Кобона / южный берег,6.355,45.112,Ладожское озеро; бухта Петрокрепость,
fishermap-6172,59.936183,31.442239,Окунь,FisherMap,https://ru.fishermap.org/location/6172/,6172,https://vk.com/wall-1707795_12920,2018-12-16,Кобона / южный берег,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Кобона / южный берег,12.032,50.86,Ладожское озеро; бухта Петрокрепость,
fishermap-6173,60.131684,32.231764,Щука,FisherMap,https://ru.fishermap.org/location/6173/,6173,https://vk.com/wall-1707795_12843,2018-12-13,Креницы / Волховская губа,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Креницы / Волховская губа,3.515,4.643,Ладожское озеро,
fishermap-6174,60.120491,32.319319,Щука,FisherMap,https://ru.fishermap.org/location/6174/,6174,https://vk.com/wall-1707795_12380,2018-11-17,Новая Ладога / устье Волхова,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. нижний Волхов.,,,,Новая Ладога / устье Волхова,0.28,2.335,Волхов,
fishermap-6175,60.254085,31.69197,Щука,FisherMap,https://ru.fishermap.org/location/6175/,6175,https://vk.com/wall-1707795_11973,2018-08-16,Лигово,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Лигово,5.011,37.252,Ладожское озеро,
fishermap-6176,60.254115,31.692067,Щука,FisherMap,https://ru.fishermap.org/location/6176/,6176,https://vk.com/wall-1707795_11955,2018-08-16,Лигово,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Лигово,5.007,37.249,Ладожское озеро,
fishermap-6179,60.025646,31.533428,Окунь,FisherMap,https://ru.fishermap.org/location/6179/,6179,https://vk.com/wall-1707795_10922,2018-05-15,Кобона / южный берег,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Кобона / южный берег,1.04,43.085,Ладожское озеро; бухта Петрокрепость,
fishermap-6180,60.021826,31.486249,Окунь,FisherMap,https://ru.fishermap.org/location/6180/,6180,https://vk.com/wall-1707795_10890,2018-05-12,Кобона / южный берег,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Кобона / южный берег,3.656,45.738,Ладожское озеро; бухта Петрокрепость,
fishermap-6183,60.342155,32.616426,Окунь,FisherMap,https://ru.fishermap.org/location/6183/,6183,https://vk.com/wall-1707795_9630,2018-02-16,Вороново,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Вороново,6.309,31.938,Ладожское озеро,
fishermap-6184,59.997778,31.43971,Окунь,FisherMap,https://ru.fishermap.org/location/6184/,6184,https://vk.com/wall-1707795_9266,2018-01-29,Кобона / южный берег,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Кобона / южный берег,7.1,48.863,Ладожское озеро; бухта Петрокрепость,
fishermap-6185,59.986953,31.531942,Окунь,FisherMap,https://ru.fishermap.org/location/6185/,6185,https://vk.com/wall-1707795_9175,2018-01-27,Кобона / южный берег,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Кобона / южный берег,4.891,44.256,Ладожское озеро; бухта Петрокрепость,
fishermap-6191,60.175403,32.212548,Окунь; Плотва,FisherMap,https://ru.fishermap.org/location/6191/,6191,https://vk.com/wall-1707795_6305,2017-03-19,Креницы / Волховская губа,B,1,1,,Публичная геометка рыболовного отчёта FisherMap. Ладожское озеро.,,,,Креницы / Волховская губа,3.134,9.158,Ладожское озеро,
