lat,lon,kind,cls,prec,fish,date,season,sector,dist,zone,title,comment,depth,method,catch,src,url,orig,sid
60.050132,31.407762,fishing,B,100,Плотва,2018-02-16,ice,Кобона / южный берег,49.5,core,"Бухта Петрокрепость — 5,0 км на ЮЗ от «мыс Кареджский нос»",Фото улова (плотва) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/5622/,https://vk.com/wall-78808262_88179,5622
60.150018,32.297909,fishing,B,100,Плотва,2018-03-18,ice,Креницы / Волховская губа,5.2,core,"Ладога — 3,8 км на СЗ от «Глядково»",Фото улова (плотва) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/5625/,https://vk.com/wall-78808262_88911,5625
60.140461,31.615558,fishing,B,100,Плотва,2017-05-04,open_water,Кобона / южный берег,37.8,core,Новоладожский канал — у «Чёрное»,"Фото улова (плотва) из поста ВК; точка на Новоладожском канале в ~0,4 км от уреза Ладоги, а не в самом озере; снасть и глубина не указаны.",,,,FisherMap,https://ru.fishermap.org/location/5636/,https://vk.com/wall-78808262_82407,5636
60.271413,31.949505,fishing,B,100,Судак,2014-06-02,open_water,Дубно,26.7,core,"Ладога — 4,7 км на С от «мыс Орёл»",Фото улова (судак) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/6144/,https://vk.com/wall-1707795_1937,6144
59.987311,31.438751,fishing,B,100,Окунь,2014-02-05,ice,Кобона / южный берег,49.2,core,"Бухта Петрокрепость — 4,5 км на В от «остров Новый Зеленец»",Фото улова (окунь) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/6146/,https://vk.com/wall-1707795_1758,6146
59.910907,31.480048,fishing,B,100,Окунь,2014-01-12,ice,Кобона / южный берег,50.1,core,"Бухта Петрокрепость — 1,7 км на СВ от «Нижняя Шальдиха»",Фото улова (окунь) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/6148/,https://vk.com/wall-1707795_1674,6148
60.088915,32.304618,fishing,B,100,Судак,2014-07-02,open_water,Нижний Волхов,1.7,core,"Волхов — 0,5 км на ЮЗ от «остров Ленина»",Фото улова (судак) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/6150/,https://vk.com/wall-1707795_2009,6150
60.188431,32.222266,fishing,B,100,Щука,2019-09-07,open_water,Креницы / Волховская губа,10.2,core,"Ладога — 7,0 км на ЮВ от «мыс Княжой»",Фото улова (щука) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/6158/,https://vk.com/wall-1707795_15943,6158
60.302495,32.604719,fishing,B,100,Судак,2019-06-23,open_water,Вороново,28.0,core,Ладога — у «Заостровье»,Фото улова (судак) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/6160/,https://vk.com/wall-1707795_15424,6160
59.923275,31.225488,fishing,B,100,Щука,2019-06-01,open_water,Шлиссельбург / бухта Петрокрепость,62.7,ext,"Новоладожский канал — 1,7 км на Ю от «мыс Бугровский»","Фото улова (щука) из поста ВК; точка на Новоладожском канале в ~0,3 км от уреза Ладоги, а не в самом озере; снасть и глубина не указаны.",,,,FisherMap,https://ru.fishermap.org/location/6161/,https://vk.com/wall-1707795_15242,6161
60.120446,31.586564,fishing,B,100,Щука,2019-05-23,open_water,Кобона / южный берег,39.2,core,"Ладога — 2,5 км на ЮЗ от «Чёрное»",Фото улова (щука) из поста ВК; снасть и глубина не указаны.,,,,FisherMap,https://ru.fishermap.org/location/6162/,https://vk.com/wall-1707795_15173,6162
59.901079,31.347414,fishing,B,100,Щука; Окунь; Судак,2019-05-16,open_water,Шлиссельбург / бухта Петрокрепость,57.2,ext,Р. Назия — у «Назия»,"Фото улова (щука, окунь, судак) из поста ВК; точка на р. Назия у пересечения с Ладожскими каналами, ~0,6 км от озера; снасть и глубина не указаны.",,,,FisherMap,https://ru.fishermap.org/location/6163/,https://vk.com/wall-1707795_15097,6163
